source,access_level,metric,status,how_to_get,limitations,next_action
HTTP/HTML,public,"status, canonical, metadata, headings, schema",available,"fetch page HTML","no traffic or conversion data","include in every audit"
robots.txt,public,"crawler policy and sitemap hints",available,"fetch /robots.txt","policy signal only, not security","compare against owner crawler policy"
sitemap,public,"declared URLs and lastmod hints",available,"fetch sitemap URLs","does not prove indexing or ranking","sample sitemap URLs for status and canonical"
Chrome UX Report,public_if_enough_traffic,"Core Web Vitals field data",unknown,"CrUX API or PageSpeed Insights API","no visits, query data, or conversions","attempt origin and URL lookup"
Lighthouse,public_lab,"performance/accessibility/SEO lab checks",available,"run Lighthouse or PageSpeed lab","synthetic, not real traffic","capture scores as lab-only"
Search operators,public_partial,"rough index presence and snippets",estimated,"site: queries and result inspection","incomplete and personalized","use only as weak evidence"
Third-party SEO tools,estimated,"estimated traffic, keywords, backlinks",estimated,"Ahrefs/Semrush/Similarweb/etc.","model estimates, weak for small sites","label as estimated"
Google Search Console,owner_only,"queries, impressions, clicks, CTR, position",requires_access,"verify site property and use Search Analytics API","Google Search only","connect when user owns site"
GA4,owner_only,"sessions, users, events, conversions, referrals",requires_access,"install GA4 or access property","requires consent/privacy configuration","connect or export reports"
Bing Webmaster Tools,owner_only,"Bing search performance and index data",requires_access,"verify property","Bing scope only","connect for Bing and AI performance reports"
Server/CDN logs,owner_only,"bot hits, status codes, crawl frequency, referrers",requires_access,"export logs from server/CDN","privacy and retention constraints","add 30-day retention"
Microsoft Clarity,owner_only_free,"heatmaps, session recordings, behavior, AI visibility where available",requires_access,"install Clarity script or access project","privacy policy and consent constraints","use for UX and AI visibility if appropriate"
Cloudflare Web Analytics,owner_only_free,"pageviews, visits, referrers, countries",requires_access,"enable zone analytics or beacon","Cloudflare scope and sampling limits","enable when Cloudflare is in use"
